ID,name,datetime,allbox,firstweekbox,firstdaybox,watchcount,comment_number,long_comment_number,short_avg_emotion,long_avg_score,score,tagscore,enviroment,isChinese,runtime,effect
25777636,奇幻森林,2016-04-15,97683.797,31825.6,7812.1,123410,71311,961,3.72367,3.76254,7.8,7,4,0,106,3
25779217,诛仙1,2019-09-13,40501.0,27317.199,14442.2,337146,303979,8009,1.03321,1.39932,4.4,6,5,1,101,3
25779218,匆匆那年,2014-12-05,58861.102,20692.5,5986.3,74203,76152,1882,1.54003,2.87838,5.6,3,3,1,119,7
25785314,爸爸去哪儿,2014-01-31,69651.398,25660.5,9431.6,15705,28389,270,2.10691,3.328,5.9,5,8,1,95,3
25786060,X战警：天启,2016-06-03,80091.0,38500.5,11153.6,559919,92846,874,3.06346,3.93898,7.7,10,9,0,144,6
25786077,末日崩塌,2015-06-02,62858.398,31846.6,3406.1,65386,40099,303,2.68939,3.47931,7.0,6,3,0,114,3
25797778,冰川时代5：星际碰撞,2016-08-23,44659.398,28504.801,5527.4,132089,22590,167,2.72093,3.46875,7.0,5,11,0,94,2
25801066,西游伏妖篇,2017-01-28,165207.203,58850.898,35448.699,212622,134614,5802,2.32614,3.31849,5.5,8,9,1,108,8
25805741,后会无期,2014-07-24,62874.898,29607.699,7237.9,70716,174817,7717,1.54177,3.58163,7.1,3,6,1,104,9
25808075,猩球崛起3：终极之战,2017-09-15,74050.297,40336.602,12390.3,414474,58204,1219,2.68541,3.45424,6.9,9,7,0,140,0
25812712,神偷奶爸3,2017-07-07,103790.602,44417.199,13781.9,250810,66101,421,3.21625,3.42667,6.8,5,13,0,90,0
25815034,湄公河行动,2016-09-30,118647.602,16540.801,3897.1,57731,178626,2334,3.83728,4.21405,8.0,9,4,1,124,8
25820460,美国队长3,2016-05-06,124396.5,62684.801,18084.199,567624,127432,1858,4.16858,4.24315,7.9,8,9,0,148,12
25821634,雷神3：诸神黄昏,2017-11-03,74370.797,36269.0,10599.6,218426,114981,972,3.52664,3.62712,7.4,7,9,0,130,8
25823277,三生三世十里桃花,2017-08-03,53500.602,42863.5,16963.4,811385,99928,5345,0.931599,2.44027,4.0,5,7,1,109,7
25823833,天将雄师,2015-02-19,73940.602,34383.301,11871.2,70220,30457,603,2.9868,3.35764,6.0,6,8,1,127,8
25824686,变形金刚5：最后的骑士,2017-06-23,155125.594,87180.203,28959.199,532878,79151,2472,0.973418,3.56747,4.9,6,9,0,155,6
25827963,西游记之孙悟空三打白骨精,2016-02-08,119853.602,76880.5,16632.9,207744,48770,1225,2.61218,3.57718,5.6,7,9,1,120,8
25829175,西游记女儿国,2018-02-16,72740.203,33149.301,16426.5,370255,54492,2976,2.17168,3.05172,4.4,7,10,1,116,7
25849049,超人总动员2,2018-06-22,35438.5,13720.6,3040.2,67501,65669,558,4.02952,4.10033,7.9,8,8,0,118,1
25858785,澳门风云2,2015-02-19,97104.203,27170.199,6360.8,53044,34425,225,1.74154,3.19159,5.5,5,11,0,110,9
25864085,火星救援,2015-11-25,58571.199,30965.9,5239.6,130885,134783,1298,2.83582,4.16216,8.5,8,3,0,144,3
25870084,重返20岁,2015-01-08,36497.199,12453.3,2202.5,49029,100729,1677,2.47741,3.83562,7.1,7,8,1,131,4
25882296,狄仁杰之四大天王,2018-07-27,60636.398,29670.1,11012.6,358309,89207,1223,2.42908,3.0604,6.1,10,8,1,132,7
25887288,冰雪奇缘2,2019-11-22,86076.602,37562.898,7407.1,204361,118481,1670,3.34911,3.19661,7.2,5,10,0,103,3
25890017,哥斯拉2：怪兽之王,2019-05-31,93739.898,46817.398,13555.0,325416,79043,952,1.60609,2.85959,6.3,9,8,0,132,2
25894431,星球大战外传：侠盗一号,2017-01-06,47718.602,22438.6,7166.7,100271,51695,871,3.08807,3.89456,7.3,8,14,0,134,3
25895276,煎饼侠,2015-07-17,116018.398,43052.301,13250.8,175432,95792,1128,2.84665,3.19655,5.8,2,6,1,113,6
25900945,美女与野兽,2017-03-17,59039.801,31007.801,8372.0,94274,110123,1825,3.15025,3.48829,7.2,5,4,0,129,3
25907124,姜子牙,2020-10-01,160296.406,103636.602,36147.699,1425171,206528,5817,3.04235,3.13043,6.8,6,11,1,110,0
25911694,摆渡人,2016-12-23,48255.699,28074.199,7942.0,203019,85859,3151,0.953535,2.70169,4.1,5,4,1,128,11
25937854,银河护卫队2,2017-05-05,68615.0,34280.898,9860.9,154543,123675,1007,3.56307,3.93857,8.0,8,9,0,136,6
25955779,忍者神龟2：破影而出,2016-07-02,39263.398,17011.6,9090.6,284659,20350,213,2.30808,3.30964,6.5,10,13,0,113,5
25964071,夏洛特烦恼,2015-09-30,144480.094,25763.199,2317.2,80510,218941,4082,3.40434,3.3064,7.7,5,3,1,104,9
25986662,疯狂的外星人,2019-02-05,221321.203,146176.906,41019.699,459801,215113,2581,2.14885,3.41216,6.4,5,10,1,116,9
26021055,栀子花开,2015-07-10,37837.699,25799.199,9615.7,174225,46714,955,2.53728,3.41077,4.4,3,6,1,107,5
26035290,悟空传,2017-07-13,69685.102,40193.602,10791.5,338817,83610,3206,2.11008,2.75932,5.1,8,7,1,123,6
26100958,复仇者联盟4：终局之战,2019-04-24,425012.812,223283.703,53774.102,1849927,314624,5875,3.93883,3.64068,8.5,13,10,0,181,12
26147417,神奇动物：格林德沃之罪,2018-11-16,39887.699,26081.6,8040.5,192794,135718,1200,2.2419,3.6314,7.1,4,7,0,134,5
26182910,功夫瑜伽,2017-01-28,174867.594,27189.9,13804.2,89920,59498,1168,2.11196,2.9094,4.9,7,9,1,108,4
26213252,惊奇队长,2019-03-08,103516.5,59826.102,21543.199,432611,152067,1476,3.30321,3.2047,6.9,8,7,0,124,9
26260853,速度与激情8,2017-04-14,267093.406,135202.5,41707.199,320713,96398,1324,2.15232,3.42475,7.0,6,9,0,136,9
26266072,谍影重重5,2016-08-23,44647.602,32795.0,7461.7,104682,53842,612,2.7165,3.65101,7.5,7,9,0,123,6
26266893,流浪地球,2019-02-05,468638.594,203168.0,19074.1,249887,663055,21831,2.69094,3.67474,7.8,6,10,1,125,9
26274910,奔跑吧！兄弟,2015-01-30,44270.0,23099.0,7981.7,49025,19771,168,0.945844,1.77124,3.5,2,8,1,88,9
